"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000102693.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951.5",1997,2116,3244,3029,3958,3383,3219,2197,3474,175,192,55,154,191,93,91,190,150,74,92
"ENSMUSG00000102851.1",7,27,15,9,6,7,8,7,8,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000103377.1",60,104,186,57,137,104,67,69,93,3,1,1,7,0,1,0,2,5,0,0
"ENSMUSG00000104017.1",25,47,81,29,58,40,26,20,43,1,0,0,6,0,0,0,1,1,0,0
"ENSMUSG00000103025.1",19,22,31,14,27,31,24,16,22,1,2,0,5,0,0,0,0,0,0,0
"ENSMUSG00000089699.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201.1",17,30,36,18,33,16,34,25,13,1,1,0,3,0,1,0,0,2,0,0
"ENSMUSG00000103147.1",28,37,38,30,50,32,24,11,28,1,0,0,2,0,0,1,0,0,0,0
"ENSMUSG00000103161.1",28,32,80,31,85,31,18,25,22,3,3,0,5,1,1,3,1,5,0,0
"ENSMUSG00000102331.1",58,85,116,73,132,83,59,57,104,34,45,18,42,61,20,28,59,69,19,28
"ENSMUSG00000102348.1",4,6,9,3,1,9,4,4,7,13,10,12,6,10,3,5,9,10,8,6
"ENSMUSG00000102592.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343.1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000025900.12",2,3,18,2,6,5,12,20,9,12,9,2,4,4,4,3,8,11,2,3
